Stride,ThreadsPerBlock,EnergyPerAccess
1,1,8.204616e+07
1,32,2.566793e+06
1,128,6.394491e+05
1,512,1.127253e+04
1,1024,1.996788e+04
4,1,7.703949e+07
4,32,2.659487e+06
4,128,7.410425e+05
4,512,1.125162e+05
4,1024,1.223009e+05
16,1,6.905237e+07
16,32,2.867250e+06
16,128,7.057567e+05
16,512,5.676568e+05
16,1024,5.823488e+05
