# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA RTX 5000 Ada Generation
# Memory level: dram
# Operation: load
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 100
# Runs per point: 5
# Array size (bytes): 52428800
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000000 J/access = 0.0000 pJ/access
#   intercept (D_MEM) = 0.000000 J
#   R-squared = 0.000000
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.04035720,0.00000000,72.4360,0.373110,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,73.0464,0.379027,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,73.4960,0.361817,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,73.8277,0.349767,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,73.6937,0.368222,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,73.8616,0.356087,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.0446,0.378015,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.5160,0.373326,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.3462,0.356194,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.6313,0.390551,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.9712,0.329402,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.1205,0.366583,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.8960,0.384908,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.9595,0.390579,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.9447,0.382247,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.0656,0.370612,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.3389,0.328735,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,74.9083,0.389974,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.7105,0.355146,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.5805,0.371082,0.0000,0.00000000,0.00000000,5
