# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA RTX 5000 Ada Generation
# Memory level: dram
# Operation: store
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 100
# Runs per point: 5
# Array size (bytes): 52428800
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000000 J/access = 0.0000 pJ/access
#   intercept (D_MEM) = 0.000000 J
#   R-squared = 0.000000
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.0344,0.390588,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.5675,0.390511,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.5247,0.391331,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.6680,0.390777,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.6645,0.390758,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.6404,0.390770,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.2093,0.390736,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.3249,0.390647,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.9054,0.390647,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.9648,0.390731,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.0156,0.390767,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.5051,0.390780,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.2754,0.390751,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.5381,0.390714,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.1164,0.390750,0.0000,0.00000000,0.00000000,5
1677721600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.9262,0.390876,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.1583,0.390688,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.0501,0.390741,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.0777,0.390670,0.0000,0.00000000,0.00000000,5
3355443200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.5739,0.390720,0.0000,0.00000000,0.00000000,5
